Temps;Canal A;Canal B
(ms);(V);(V)

-43,24824584;0,57161170;2,76833400
-43,20728584;0,52751240;2,67891500
-43,16632584;0,52751240;2,67891500
-43,12536584;0,52751240;2,50007600
-43,08440584;0,48341320;2,41065700
-43,04344584;0,48341320;2,32093300
-43,00248584;0,43931390;2,32093300
-42,96152584;0,43931390;2,23151400
-42,92056584;0,43931390;2,14209400
-42,87960584;0,39521470;2,05267500
-42,83864584;0,39521470;1,96325600
-42,79768584;0,39521470;1,96325600
-42,75672584;0,35111550;1,78441700
-42,71576584;0,35111550;1,69499800
-42,67480584;0,35111550;1,60557900
-42,63384584;0,30701620;1,51616000
-42,59288584;0,30701620;1,51616000
-42,55192584;0,26291700;1,42674000
-42,51096584;0,26291700;1,33701600
-42,47000584;0,26291700;1,24759700
-42,42904584;0,21881770;1,24759700
-42,38808584;0,21881770;1,15817700
-42,34712584;0,21881770;0,97933890
-42,30616584;0,17471850;0,88991980
-42,26520584;0,17471850;0,80050050
-42,22424584;0,13061920;0,80050050
-42,18328584;0,13061920;0,71108130
-42,14232584;0,13061920;0,62166200
-42,10136585;0,08651997;0,53224280
-42,06040585;0,08651997;0,44282360
-42,01944585;0,04242073;0,35340430
-41,97848585;0,04242073;0,35340430
-41,93752585;0,04242073;0,17456590
-41,89656585;0,04242073;0,17456590
-41,85560585;-0,00167852;-0,00427259
-41,81464585;-0,00167852;0,08514664
-41,77368585;0,04242073;0,08514664
-41,73272585;0,04242073;0,17456590
-41,69176585;0,04242073;0,26398510
-41,65080585;0,04242073;0,35340430
-41,60984585;0,08651997;0,44282360
-41,56888585;0,08651997;0,44282360
-41,52792585;0,13061920;0,53224280
-41,48696585;0,13061920;0,53224280
-41,44600585;0,13061920;0,71108130
-41,40504585;0,17471850;0,80050050
-41,36408585;0,17471850;0,88991980
-41,32312585;0,21881770;0,97933890
-41,28216585;0,21881770;1,06875800
-41,24120585;0,21881770;1,15817700
-41,20024585;0,26291700;1,15817700
-41,15928585;0,26291700;1,24759700
-41,11832585;0,26291700;1,42674000
-41,07736585;0,30701620;1,42674000
-41,03640585;0,30701620;1,51616000
-40,99544585;0,30701620;1,60557900
-40,95448585;0,35111550;1,60557900
-40,91352585;0,35111550;1,78441700
-40,87256585;0,39521470;1,87383700
-40,83160585;0,39521470;1,87383700
-40,79064585;0,39521470;1,96325600
-40,74968585;0,39521470;2,05267500
-40,70872585;0,39521470;2,14209400
-40,66776585;0,43931390;2,23151400
-40,62680585;0,43931390;2,32093300
-40,58584585;0,48341320;2,32093300
-40,54488585;0,52751240;2,50007600
-40,50392585;0,48341320;2,50007600
-40,46296586;0,52751240;2,67891500
-40,42200586;0,57161170;2,76833400
-40,38104586;0,57161170;2,76833400
-40,34008586;0,57161170;2,85775300
-40,29912586;0,61571090;2,94717200
-40,25816586;0,61571090;3,03659200
-40,21720586;0,61571090;3,12601100
-40,17624586;0,65981020;3,12601100
-40,13528586;0,70390940;3,30515500
-40,09432586;0,70390940;3,30515500
-40,05336586;0,70390940;3,39457400
-40,01240586;0,74816130;3,48399300
-39,97144586;0,74816130;3,66283200
-39,93048586;0,74816130;3,66283200
-39,88952586;0,74816130;3,75225100
-39,84856586;0,79226050;3,75225100
-39,80760586;0,79226050;3,93108900
-39,76664586;0,79226050;4,02050800
-39,72568586;0,83635970;4,10992800
-39,68472586;0,88045900;4,10992800
-39,64376586;0,88045900;4,19934700
-39,60280586;0,88045900;4,28907100
-39,56184586;0,92455820;4,37849000
-39,52088586;0,92455820;4,46791000
-39,47992586;0,92455820;4,55732900
-39,43896586;0,92455820;4,64674800
-39,39800586;0,96865750;4,73616700
-39,35704586;0,96865750;4,73616700
-39,31608586;1,01275700;4,82558700
-39,27512586;1,05685600;4,91500600
-39,23416586;1,01275700;5,00442500
-39,19320586;1,05685600;5,09384400
-39,15224586;1,05685600;5,09384400
-39,11128586;1,10095500;5,09384400
-39,07032586;1,10095500;5,09384400
-39,02936586;1,10095500;5,09384400
-38,98840586;1,14505400;5,09384400
-38,94744586;1,18915400;5,09384400
-38,90648586;1,18915400;5,09384400
-38,86552586;1,18915400;5,09384400
-38,82456587;1,18915400;5,09384400
-38,78360587;1,23325300;5,09384400
-38,74264587;1,23325300;5,09384400
-38,70168587;1,27735200;5,09384400
-38,66072587;1,27735200;5,09384400
-38,61976587;1,27735200;5,09384400
-38,57880587;1,27735200;5,09384400
-38,53784587;1,27735200;5,09384400
-38,49688587;1,32145100;5,09384400
-38,45592587;1,32145100;5,09384400
-38,41496587;1,36555100;5,09384400
-38,37400587;1,36555100;5,09384400
-38,33304587;1,40965000;5,09384400
-38,29208587;1,40965000;5,09384400
-38,25112587;1,40965000;5,09384400
-38,21016587;1,45390200;5,09384400
-38,16920587;1,45390200;5,09384400
-38,12824587;1,45390200;5,09384400
-38,08728587;1,49800100;5,09384400
-38,04632587;1,49800100;5,09384400
-38,00536587;1,49800100;5,09384400
-37,96440587;1,54210000;5,09384400
-37,92344587;1,54210000;5,09384400
-37,88248587;1,54210000;5,09384400
-37,84152587;1,58620000;5,09384400
-37,80056587;1,58620000;5,09384400
-37,75960587;1,63029900;5,09384400
-37,71864587;1,63029900;5,09384400
-37,67768587;1,63029900;5,09384400
-37,63672587;1,67439800;5,09384400
-37,59576587;1,67439800;5,09384400
-37,55480587;1,67439800;5,09384400
-37,51384587;1,71849700;5,09384400
-37,47288587;1,71849700;5,09384400
-37,43192587;1,76259600;5,09384400
-37,39096587;1,76259600;5,09384400
-37,35000587;1,80669600;5,09384400
-37,30904587;1,80669600;5,09384400
-37,26808587;1,80669600;5,09384400
-37,22712587;1,80669600;5,09384400
-37,18616588;1,80669600;5,09384400
-37,14520588;1,85079500;5,09384400
-37,10424588;1,85079500;5,09384400
-37,06328588;1,89489400;5,09384400
-37,02232588;1,89489400;5,09384400
-36,98136588;1,93899300;5,09384400
-36,94040588;1,93899300;5,09384400
-36,89944588;1,93899300;5,09384400
-36,85848588;1,98309300;5,09384400
-36,81752588;1,98309300;5,09384400
-36,77656588;1,98309300;5,09384400
-36,73560588;1,98309300;5,09384400
-36,69464588;1,93899300;5,09384400
-36,65368588;1,89489400;5,09384400
-36,61272588;1,89489400;5,09384400
-36,57176588;1,89489400;5,09384400
-36,53080588;1,85079500;5,09384400
-36,48984588;1,85079500;5,09384400
-36,44888588;1,85079500;5,09384400
-36,40792588;1,80669600;5,09384400
-36,36696588;1,80669600;5,09384400
-36,32600588;1,80669600;5,09384400
-36,28504588;1,76259600;5,09384400
-36,24408588;1,76259600;5,09384400
-36,20312588;1,76259600;5,09384400
-36,16216588;1,71849700;5,09384400
